date,open,high,low,close,volume,key,ticker,market,label
2023-11-02,215999.5584313457,224251.2269556893,215999.5584313457,221824.265625,203780,LGIT,011070.KS,KR,LG이노텍
2023-11-03,222309.6487306843,225707.3944536424,212116.4115618101,219882.6875,249070,LGIT,011070.KS,KR,LG이노텍
2023-11-06,226678.1756844008,234929.84375,222309.6455320248,234929.84375,216108,LGIT,011070.KS,KR,LG이노텍
2023-11-07,233473.69186433905,233473.69186433905,224736.63063033047,227648.984375,104901,LGIT,011070.KS,KR,LG이노텍
2023-11-08,230075.9400647948,230561.3323434125,223280.4481641469,224736.625,100246,LGIT,011070.KS,KR,LG이노텍
2023-11-09,228619.7525769833,238812.9899530272,228619.7525769833,232502.890625,292501,LGIT,011070.KS,KR,LG이노텍
2023-11-10,230075.9229425465,235900.62985248445,227163.5694875776,234444.453125,89782,LGIT,011070.KS,KR,LG이노텍
2023-11-13,236871.4209290188,237356.81318502087,232017.4983689979,232502.890625,73324,LGIT,011070.KS,KR,LG이노텍
2023-11-14,234444.45897239263,237356.8125,232502.88995398773,237356.8125,84066,LGIT,011070.KS,KR,LG이노텍
2023-11-15,241725.34702620967,242696.13155241933,239298.38571068548,240754.5625,100762,LGIT,011070.KS,KR,LG이노텍
2023-11-16,242210.7385437253,245608.484375,240754.56175889328,245608.484375,126017,LGIT,011070.KS,KR,LG이노텍
2023-11-17,246093.8740587349,246579.26631526105,240754.5592369478,241725.34375,80404,LGIT,011070.KS,KR,LG이노텍
2023-11-20,240269.16214446104,245123.084612026,239783.7698977046,243181.515625,76849,LGIT,011070.KS,KR,LG이노텍
2023-11-21,245123.1011029412,250947.8084558824,243181.53198529413,247550.0625,145691,LGIT,011070.KS,KR,LG이노텍
2023-11-22,245123.099467955,249491.6299535225,244152.31491560664,248035.453125,61518,LGIT,011070.KS,KR,LG이노텍
2023-11-23,246093.8781828704,246579.27044753087,234929.85609567905,235900.640625,253399,LGIT,011070.KS,KR,LG이노텍
2023-11-24,236871.42351129363,239298.3848177618,234929.85446611908,236386.03125,76264,LGIT,011070.KS,KR,LG이노텍
2023-11-27,235415.261027452,236386.0456090085,227648.984375,227648.984375,151992,LGIT,011070.KS,KR,LG이노텍
2023-11-28,230075.9358552632,231532.1126644737,227163.5822368421,230561.328125,130790,LGIT,011070.KS,KR,LG이노텍
2023-11-29,232017.4924682876,232017.4924682876,228619.74676268487,229590.53125,80259,LGIT,011070.KS,KR,LG이노텍
2023-11-30,229590.52642463235,232502.87982536765,229105.13419117648,231046.703125,111681,LGIT,011070.KS,KR,LG이노텍
2023-12-01,231046.73210470084,231532.12439903847,227163.59375,227163.59375,85972,LGIT,011070.KS,KR,LG이노텍
2023-12-04,228619.7483779132,233473.67084878177,228134.35613082623,229105.140625,90766,LGIT,011070.KS,KR,LG이노텍
2023-12-05,229105.13739451475,232017.49083597044,227163.5684335443,230075.921875,71082,LGIT,011070.KS,KR,LG이노텍
2023-12-06,232017.48598008387,235415.23159067085,231046.70151991613,231532.09375,106244,LGIT,011070.KS,KR,LG이노텍
2023-12-07,229590.53125,230561.31573731505,227163.57003171247,229590.53125,81127,LGIT,011070.KS,KR,LG이노텍
2023-12-08,231532.10022463,232502.88471194505,228619.74676268487,229590.53125,101742,LGIT,011070.KS,KR,LG이노텍
2023-12-11,232017.5081300813,239783.78455284552,231532.11585365853,238813.0,197156,LGIT,011070.KS,KR,LG이노텍
2023-12-12,240269.17682926828,244152.3150406504,238327.60772357724,238813.0,124432,LGIT,011070.KS,KR,LG이노텍
2023-12-13,240269.175171146,241725.3519903651,238812.99835192697,239298.390625,69730,LGIT,011070.KS,KR,LG이노텍
2023-12-14,243181.51725,243666.9095,238812.987,242696.125,208235,LGIT,011070.KS,KR,LG이노텍
2023-12-15,231046.7053390688,240269.15786310728,227648.9596723178,239783.765625,461862,LGIT,011070.KS,KR,LG이노텍
2023-12-18,242210.7383855236,242210.7383855236,234444.46220482545,236386.03125,119103,LGIT,011070.KS,KR,LG이노텍
2023-12-19,234929.84427742616,235900.62875791136,228619.74515427207,230075.921875,209460,LGIT,011070.KS,KR,LG이노텍
2023-12-20,232502.87982536765,232988.27205882352,227648.95749080885,231046.703125,169931,LGIT,011070.KS,KR,LG이노텍
2023-12-21,229105.1325995807,232017.48598008387,228619.74036949687,231532.09375,102532,LGIT,011070.KS,KR,LG이노텍
2023-12-22,232988.2704402516,232988.2704402516,229590.5248296646,231532.09375,101426,LGIT,011070.KS,KR,LG이노텍
2023-12-26,231046.72039473685,232017.50493421053,220853.4827302632,221338.875,298921,LGIT,011070.KS,KR,LG이노텍
2023-12-27,223901.96298283263,229303.1068267168,222919.9368293992,228812.09375,123900,LGIT,011070.KS,KR,LG이노텍
2023-12-28,229794.12173799585,236668.3048669102,228812.09557672232,235195.265625,187874,LGIT,011070.KS,KR,LG이노텍
2024-01-02,233231.20289760915,237159.30736746365,231758.16372141373,236177.28125,84957,LGIT,011070.KS,KR,LG이노텍
2024-01-03,230776.13057544053,231267.14361921808,222919.921875,222919.921875,270780,LGIT,011070.KS,KR,LG이노텍
2024-01-04,222919.9321097161,225866.0105076419,219973.8537117904,224883.984375,79430,LGIT,011070.KS,KR,LG이노텍
2024-01-05,223901.9665924276,224883.99276169264,219973.86191536748,220464.875,119119,LGIT,011070.KS,KR,LG이노텍
2024-01-08,220464.8673276345,222919.9326653588,218500.81505745515,218991.828125,68430,LGIT,011070.KS,KR,LG이노텍
2024-01-09,222428.9193169248,224392.97158462388,221937.90625,221937.90625,78539,LGIT,011070.KS,KR,LG이노텍
2024-01-10,223410.9402777778,223410.9402777778,220464.86194444445,220955.875,62874,LGIT,011070.KS,KR,LG이노텍
2024-01-11,221937.91934589803,223410.95863359203,218991.84077051,221446.90625,110003,LGIT,011070.KS,KR,LG이노텍
2024-01-12,221446.89636479592,221446.89636479592,215554.7394770408,216536.765625,96361,LGIT,011070.KS,KR,LG이노텍
2024-01-15,217027.7761363636,218991.8284090909,216536.7630681818,216045.75,10127,LGIT,011070.KS,KR,LG이노텍
2024-01-16,214572.7085017321,217027.7738163972,212608.65625,212608.65625,71674,LGIT,011070.KS,KR,LG이노텍
2024-01-17,211135.61812347188,213099.6703850856,200333.33068459656,200824.34375,215764,LGIT,011070.KS,KR,LG이노텍
2024-01-18,200824.344021402,203279.4093517369,196405.226426799,197878.265625,134617,LGIT,011070.KS,KR,LG이노텍
2024-01-19,202297.3843605991,213590.6849438364,202297.3843605991,213099.671875,189669,LGIT,011070.KS,KR,LG이노텍
2024-01-22,217027.77142018767,217518.78447769952,209171.5625,209171.5625,91825,LGIT,011070.KS,KR,LG이노텍
2024-01-23,212117.6486013986,214081.7009032634,208189.543997669,210644.609375,60393,LGIT,011070.KS,KR,LG이노텍
2024-01-24,211626.6461504684,212117.65925058548,208189.5544496487,209662.59375,71115,LGIT,011070.KS,KR,LG이노텍
